Rating matrix file path : [../rrnnglobalv2/data1M/rating_matrix.txt]
Training data file : [../rrnnglobalv2/data1M/train.data]
Testing data file : [../rrnnglobalv2/data1M/test.data]
Model configuration:
{'num_users': 6040, 'lr': 0.001, 'num_units': 512, 'rho': 0.9, 'chunk_size': 10, 'num_items': 3706, 'k': 5, 'cell_act': 'tanh', 'batch_size': 5}
Epoch 1: Training error 25835.8595067
Epoch 1: Test error 3425.50220136
Epoch 1: Training RMSE 1.23756803445
Epoch 1: Test RMSE 1.60812159041
Epoch 2: Training error 22861.3980353
Epoch 2: Test error 3737.52920137
Epoch 2: Training RMSE 1.07235176748
Epoch 2: Test RMSE 1.41095060415
Epoch 3: Training error 21299.6697312
Epoch 3: Test error 3848.4601509
Epoch 3: Training RMSE 1.02906565461
Epoch 3: Test RMSE 1.38717580381
Epoch 4: Training error 20176.5554984
Epoch 4: Test error 3741.72810962
Epoch 4: Training RMSE 0.997861718665
Epoch 4: Test RMSE 1.36753796769
Epoch 5: Training error 19163.9019444
Epoch 5: Test error 3683.34716748
Epoch 5: Training RMSE 0.968564225879
Epoch 5: Test RMSE 1.3709627931
Epoch 6: Training error 18257.4104931
Epoch 6: Test error 3719.0105472
Epoch 6: Training RMSE 0.941840036317
Epoch 6: Test RMSE 1.36794866619
Epoch 7: Training error 17516.3219497
Epoch 7: Test error 3781.28744982
Epoch 7: Training RMSE 0.919108419993
Epoch 7: Test RMSE 1.35426690118
Epoch 8: Training error 16867.4527587
Epoch 8: Test error 3856.83939022
Epoch 8: Training RMSE 0.900351106326
Epoch 8: Test RMSE 1.35160521488
Epoch 9: Training error 16307.2823632
Epoch 9: Test error 3933.20941881
Epoch 9: Training RMSE 0.881778515437
Epoch 9: Test RMSE 1.34471164499
Epoch 10: Training error 15802.4064614
Epoch 10: Test error 3968.86700429
Epoch 10: Training RMSE 0.865043434251
Epoch 10: Test RMSE 1.34875607888
Epoch 11: Training error 15322.5022848
Epoch 11: Test error 4029.55431516
Epoch 11: Training RMSE 0.850446990011
Epoch 11: Test RMSE 1.35647975102
Epoch 12: Training error 14903.7385531
Epoch 12: Test error 4083.30523587
Epoch 12: Training RMSE 0.83602010435
Epoch 12: Test RMSE 1.36153208203
Epoch 13: Training error 14521.3783182
Epoch 13: Test error 4110.1513564
Epoch 13: Training RMSE 0.823933671763
Epoch 13: Test RMSE 1.37965670879
Epoch 14: Training error 14210.2775396
Epoch 14: Test error 4161.98466033
Epoch 14: Training RMSE 0.814471226648
Epoch 14: Test RMSE 1.39038273348
Epoch 15: Training error 13905.6853923
Epoch 15: Test error 4216.81765819
Epoch 15: Training RMSE 0.802699530875
Epoch 15: Test RMSE 1.41138420586
Epoch 16: Training error 13646.1008455
Epoch 16: Test error 4290.15634889
Epoch 16: Training RMSE 0.794066894513
Epoch 16: Test RMSE 1.4443181954
Epoch 17: Training error 13389.2021046
Epoch 17: Test error 4371.54998189
Epoch 17: Training RMSE 0.786435167702
Epoch 17: Test RMSE 1.46309027408
Epoch 18: Training error 13206.1311178
Epoch 18: Test error 4405.92830185
Epoch 18: Training RMSE 0.778837020796
Epoch 18: Test RMSE 1.49091122275
Epoch 19: Training error 12963.8627602
Epoch 19: Test error 4475.09151002
Epoch 19: Training RMSE 0.77142532931
Epoch 19: Test RMSE 1.51670207568
Epoch 20: Training error 12807.5287204
Epoch 20: Test error 4546.97948604
Epoch 20: Training RMSE 0.765465051603
Epoch 20: Test RMSE 1.54555729166
Epoch 21: Training error 12609.2988067
Epoch 21: Test error 4605.42020446
Epoch 21: Training RMSE 0.758577980489
Epoch 21: Test RMSE 1.56764125272
Epoch 22: Training error 12466.7677739
Epoch 22: Test error 4662.43188784
Epoch 22: Training RMSE 0.750904998615
Epoch 22: Test RMSE 1.58287298911
Epoch 23: Training error 12326.6019429
Epoch 23: Test error 4726.0138807
Epoch 23: Training RMSE 0.747044900231
Epoch 23: Test RMSE 1.61207763039
Epoch 24: Training error 12190.7256415
Epoch 24: Test error 4821.50796143
Epoch 24: Training RMSE 0.741029391082
Epoch 24: Test RMSE 1.64171902082
Epoch 25: Training error 12043.8108587
Epoch 25: Test error 4914.45963949
Epoch 25: Training RMSE 0.735472897123
Epoch 25: Test RMSE 1.66498296637
Epoch 26: Training error 11958.4317911
Epoch 26: Test error 4994.22647165
Epoch 26: Training RMSE 0.731286931407
Epoch 26: Test RMSE 1.67996208279
Epoch 27: Training error 11842.2447607
Epoch 27: Test error 5046.18565888
Epoch 27: Training RMSE 0.7263594395
Epoch 27: Test RMSE 1.71888920723
Epoch 28: Training error 11777.9673727
Epoch 28: Test error 5103.00327828
Epoch 28: Training RMSE 0.724815218122
Epoch 28: Test RMSE 1.74022337716
Epoch 29: Training error 11682.4642035
Epoch 29: Test error 5190.74325788
Epoch 29: Training RMSE 0.72055655395
Epoch 29: Test RMSE 1.74683669253
Epoch 30: Training error 11607.3647375
Epoch 30: Test error 5275.87827121
Epoch 30: Training RMSE 0.717450642349
Epoch 30: Test RMSE 1.76502270236
Epoch 31: Training error 11522.7015823
Epoch 31: Test error 5321.93178368
Epoch 31: Training RMSE 0.713088827049
Epoch 31: Test RMSE 1.77554212948
Epoch 32: Training error 11462.9286455
Epoch 32: Test error 5396.30049215
Epoch 32: Training RMSE 0.712199069686
Epoch 32: Test RMSE 1.77647969612
Epoch 33: Training error 11377.9717933
Epoch 33: Test error 5418.19669245
Epoch 33: Training RMSE 0.707844113896
Epoch 33: Test RMSE 1.7635956539
Epoch 34: Training error 11276.2685363
Epoch 34: Test error 5482.15223769
Epoch 34: Training RMSE 0.703803878358
Epoch 34: Test RMSE 1.77259347565
Epoch 35: Training error 11198.3420221
Epoch 35: Test error 5537.49706265
Epoch 35: Training RMSE 0.702110421969
Epoch 35: Test RMSE 1.78652746286
Epoch 36: Training error 11157.9672771
Epoch 36: Test error 5586.77810507
Epoch 36: Training RMSE 0.698961468602
Epoch 36: Test RMSE 1.79672002962
Epoch 37: Training error 11115.9229992
Epoch 37: Test error 5655.91073117
Epoch 37: Training RMSE 0.696936058622
Epoch 37: Test RMSE 1.80694669917
Epoch 38: Training error 11069.5313541
Epoch 38: Test error 5701.83154177
Epoch 38: Training RMSE 0.693553902578
Epoch 38: Test RMSE 1.82075552012
Epoch 39: Training error 11016.6853711
Epoch 39: Test error 5774.86663959
Epoch 39: Training RMSE 0.690040117736
Epoch 39: Test RMSE 1.82988889268
Epoch 40: Training error 10984.1914759
Epoch 40: Test error 5881.28678131
Epoch 40: Training RMSE 0.691098217929
Epoch 40: Test RMSE 1.8523439282
Epoch 41: Training error 10890.1142978
Epoch 41: Test error 5962.9214067
Epoch 41: Training RMSE 0.687150222379
Epoch 41: Test RMSE 1.87871527351
Epoch 42: Training error 10881.0945465
Epoch 42: Test error 6029.48798928
Epoch 42: Training RMSE 0.684286259095
Epoch 42: Test RMSE 1.89453819357
Epoch 43: Training error 10841.9927341
Epoch 43: Test error 6070.94436899
Epoch 43: Training RMSE 0.683121706439
Epoch 43: Test RMSE 1.89923929469
Epoch 44: Training error 10785.0038499
Epoch 44: Test error 6105.0175012
Epoch 44: Training RMSE 0.681625341066
Epoch 44: Test RMSE 1.89721010197
Epoch 45: Training error 10787.306071
Epoch 45: Test error 6155.19392353
Epoch 45: Training RMSE 0.680959506119
Epoch 45: Test RMSE 1.89476055534
Epoch 46: Training error 10721.0060256
Epoch 46: Test error 6173.90948807
